Borsod-Abaúj-Zemplén	Észak-Magyarország 
Heves	Észak-Magyarország 
Nógrád	Észak-Magyarország 
Hajdú-Bihar	Észak-Alföld 
Jász-Nagykun-Szolnok	Észak-Alföld 
Szabolcs-Szatmár-Bereg	Észak-Alföld 
Bács-Kiskun	Dél-Alföld 
Békés	Dél-Alföld 
Csongrád	Dél-Alföld 
Pest	Közép-Magyarország 
Budapest 	Közép-Magyarország 
Komárom-Esztergom	Közép-Dunántúl 
Fejér	Közép-Dunántúl 
Veszprém	Közép-Dunántúl 
Győr-Moson-Sopron	Nyugat-Dunántúl 
Vas	Nyugat-Dunántúl 
Zala	Nyugat-Dunántúl 
Baranya	Dél-Dunántúl 
Somogy	Dél-Dunántúl 
Tolna	Dél-Dunántúl
